ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,Source
k31luyana,K31_Luyana,luya1241,Luyana,lyn,,,29588
k332rumanyo,K332_Rumanyo,diri1252,Diriku,diu,,,33386
k33kwangali,K33_Kwangali,kwan1273,Kwangali,kwn,,,29588
komgrassfields,Kom_Grassfields,komc1235,Kom (Cameroon),bkm,,,ALGABKomGrassfields
kulungjarawan,Kulung_Jarawan,kulu1255,Kulung (Nigeria),bbu,,,Blench2006
l11pende,L11_Pende,phen1239,Phende,pem,,,29588
l12bholu,L12b_Holu,holu1245,Holu,hol,,,29588
l13kwese,L13_Kwese,kwes1244,Kwese,kws,,,29588
l221lwalwa,L221_Lwalwa,lwal1238,Lwalu,lwa,,,29588
l23songe,L23_Songe,song1303,Songe,sop,,,ALGABL23Songe
l31alubakasai,L31a_Luba-Kasai,luba1249,Luba-Lulua,lua,,,CBOLDL31aLubaKasai
l32kanyok,L32_Kanyok,kany1247,Kanyok,kny,,,29588
l33lubashaba,L33_Luba-Shaba,luba1250,Luba-Katanga,lub,,,29588
l34hemba,L34_Hemba,hemb1242,Hemba,hem,,,29588
l35sanga,L35_Sanga,sang1331,Sanga (Democratic Republic of Congo),sng,,,29588
l41kaonde,L41_Kaonde,kaon1241,Kaonde,kqn,,,29588
l51salampasu,L51_Salampasu,sala1268,Salampasu,slx,,,29588
l52lunda,L52_Lunda,lund1266,Lunda,lun,,,29588
l53runda,L53_Runda,ruun1238,Ruund,rnd,,,29588
l62nkoya,L62_Nkoya,nkoy1244,Nkoya,nka,,,29588
m11pimbwe,M11_Pimbwe,pimb1238,Pimbwe,piw,,,ALGABM11Pimbwe
m12lungwa,M12_Lungwa,rung1255,Rungwa,rnw,,,ALGABM12Lungwa
m13fipa,M13_Fipa,fipa1238,Fipa,fip,,,ALGABM13Fipa
m14rungu,M14_Rungu,mamb1296,Mambwe-Lungu,mgr,,,ALGABM14Rungu
m15mambwe,M15_Mambwe,mamb1296,Mambwe-Lungu,mgr,,,ALGABM15Mambwe
m21ndali,M21_Ndali,ndal1241,Ndali,ndh,,,ALGABM21Ndali
m21wanda,M21_Wanda,wand1264,Wanda,wbh,,,ALGABM21Wanda
m22namwanga,M22_Namwanga,nyam1275,Nyamwanga,mwn,,,ALGABM22Namwanga
m23nyiha,M23_Nyiha,nyih1240,Nyiha (Tanzania),nih,,,ALGABM23Nyiha
m24malila,M24_Malila,mali1279,Malila,mgq,,,ALGABM24Malila
m25safwa,M25_Safwa,safw1238,Safwa,sbk,,,ALGABM25Safwa
m28lambya,M28_Lambya,lamb1272,Lambya,lai,,,ALGABM28Lambya
m31nyakyusa,M31_Nyakyusa,nyak1260,Nyakyusa-Ngonde,nyy,,,ALGABM31Nyakyusa
m41taabwa,M41_Taabwa,taab1238,Taabwa,tap,,,ALGABM41Taabwa
m42bemba,M42_Bemba,bemb1257,Bemba (Zambia),bem,,,ALGABM42Bemba
m52lala,M52_Lala,lala1264,Lala-Bisa,leb,,,29588
m54lamba,M54_Lamba,lamb1271,Lamba,lam,,,29588
m61lenje,M61_Lenje,lenj1248,Lenje,leh,,,29588
m62soli,M62_Soli,soli1239,Soli,sby,,,29588
m64tonga,M64_Tonga,tong1318,Tonga,toi,,,29588
mbulajarawan,Mbula_Jarawan,mbul1260,Mbula-Bwazza,mbu,,,Blench2006
moghamograssfields,Moghamo_Grassfields,meta1238,Meta',mgo,,,ALGABMoghamoGrassfields
mungakagrassfields,Mungaka_Grassfields,mung1266,Mungaka,mhk,,,ALGABMungakaGrassfields
n11manda,N11_Manda,mand1423,Manda (Tanzania),mgs,,,30800
n12ngoni,N12_Ngoni,ngon1269,Ngoni,ngo,,,30800
n13matengo,N13_Matengo,mate1258,Matengo,mgv,,,30800
n14mpoto,N14_Mpoto,mpot1240,Mpoto,mpa,,,30800
n21tumbukamalawi,N21_Tumbuka_Malawi,tumb1250,Tumbuka,tum,,,29588
n31chewa,N31_Chewa,nyan1308,Nyanja,nya,,,CBOLDN31Chewa
n42kunda,N42_Kunda,kund1255,Kunda (Sena),kdn,,,29588
njengrassfields,Njen_Grassfields,njen1238,Njen,njj,,,ALGABNjenGrassfields
okugrassfields,Oku_Grassfields,okuu1243,Oku (Cameroon),oku,,,ALGABOkuGrassfields
p11ndengeleko,P11_Ndengeleko,nden1248,Ndengereko,ndg,,,30800
p12rufiji,P12_Rufiji,nden1248,Ndengereko,ndg,,,30800
p13matumbi,P13_Matumbi,matu1259,Matumbi,mgw,,,30800
p14ngindo,P14_Ngindo,ngin1244,Ngindo,nnq,,,30800
p15mbunga,P15_Mbunga,mbun1248,Mbunga,mgy,,,30800
p21yao,P21_Yao,yaoo1241,Yao,yao,,,30800
p22mwera,P22_Mwera,mwer1248,Mwera (Chimwera),mwe,,,30800
p23simakonde,P23_Simakonde,mako1251,Makonde,kde,,,30800
p25mabia,P25_Mabia,mako1251,Makonde,kde,,,30800
p31emakhua,P31_Emakhua,makh1264,Makhuwa,vmw,,,CBOLDP31Emakhua
p31gikorovere,P31G_Ikorovere,makh1261,Makhuwa-Meetto,mgh,,,ALGABP31GIkorovere
r11umbundu,R11_Umbundu,umbu1257,Umbundu,umb,,,Schadeberg1990
r21kwanyama,R21_Kwanyama,kuan1247,Kuanyama,kua,,,29588
r22ndonga,R22_Ndonga,ndon1254,Ndonga,ndo,,,29588
r31herero,R31_Herero,here1253,Herero,her,,,29588
s11shona,S11_Shona,shon1251,Shona,sna,,,CBOLDS11Shona
s16kalanga,S16_Kalanga,kala1384,Kalanga,kck,,,CBOLDS16Kalanga
s21venda,S21_Venda,vend1245,Venda,ven,,,CBOLDS21Venda
s311shekgalagari,S311_Shekgalagari,kgal1244,Kgalagadi,xkv,,,ALGABS311Shekgalagari
s31tswana,S31_Tswana,tswa1253,Tswana,tsn,,,ALGABS31Tswana
s41xhosa,S41_Xhosa,xhos1239,Xhosa,xho,,,WebstersXhosa
s42zulu,S42_Zulu,zulu1248,Zulu,zul,,,isiZulu
s44ndebele,S44_Ndebele,nort2795,North Ndebele,nde,,,29588
s51tshwa,S51_Tshwa,tswa1255,Tswa,tsc,,,29588
s53tsonga,S53_Tsonga,tson1249,Tsonga,tso,,,66179
tivtivoid,Tiv_Tivoid,tivv1240,Tiv,tiv,,,7621
zaambojarawan,Zaambo_Jarawan,mbul1260,Mbula-Bwazza,mbu,,,Blench2006
