Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59
A803_Shiwa,2,1,16,14,5,17,7,2,3,1,3,1,10,1,5,21,2,1,1,5,3,1,3,4,2,8,11,4,15,7,10,3,11,1,13,4,11,5,9,11,1,1,1,7,1,1,2,7,3,16,18,4,1,15,5,2,5,4,4,3,7,4,5,9,2,4,1,9,13,4,13,1,5,2,7,7,3,13,1,1,5,2,12,1,10,2,1,4,1,1,10,18,2,9,6,4,7,21,17,14
A81_Kwasio,2,1,17,15,13,17,19,2,3,1,3,1,?,1,?,15,2,1,1,5,3,1,3,4,2,8,12,4,3,13,10,3,11,1,13,4,12,12,2,11,1,1,?,7,1,1,2,7,3,9,19,4,1,5,5,2,1,4,4,3,7,4,5,9,2,4,1,9,13,?,13,1,5,2,7,14,?,13,1,1,5,2,5,1,1,2,1,4,1,1,10,?,2,4,11,4,11,21,18,8
A83_Mekaa,6,1,17,16,13,18,19,2,?,1,3,1,10,4,5,21,2,1,1,5,3,1,3,4,2,8,12,8,3,7,10,3,1,1,13,4,13,5,2,4,1,1,1,7,1,1,2,7,3,1,19,4,1,?,5,17,1,10,4,3,7,4,5,9,?,4,1,10,14,4,13,5,5,2,?,7,3,11,1,?,4,?,5,?,?,2,1,4,1,1,7,19,2,4,12,4,10,12,18,15
A832_Bekol,2,1,17,2,13,?,19,2,3,1,3,1,10,1,5,21,?,1,1,5,3,1,3,4,2,8,9,4,3,7,11,3,1,1,13,4,13,5,2,11,1,1,1,7,1,1,2,7,3,1,20,4,1,16,15,2,1,4,4,3,7,9,5,9,2,4,6,10,14,12,14,1,5,13,7,7,1,11,1,1,4,2,5,1,1,2,1,4,1,1,10,18,2,10,12,4,7,21,18,15
A84_Njem,2,1,10,15,13,17,7,2,3,1,3,1,10,1,5,21,2,1,1,5,8,1,3,4,2,8,9,9,3,7,10,13,1,1,17,4,13,?,2,12,1,1,1,1,10,1,2,7,3,1,21,4,1,5,5,2,11,4,4,5,7,9,5,9,2,4,1,10,5,4,15,1,5,2,7,7,1,14,1,1,4,2,5,1,11,2,1,4,1,1,10,18,2,4,12,4,7,7,18,15
A841_Badwe,2,1,17,15,13,17,7,2,3,1,3,1,10,1,17,21,2,1,1,5,8,1,3,4,2,8,9,9,3,7,10,13,1,1,17,4,13,?,10,12,1,1,1,1,10,1,2,7,3,1,21,4,?,5,5,2,11,4,4,5,7,9,5,9,2,4,1,10,5,4,15,1,5,2,7,7,1,14,1,1,4,2,5,1,11,2,1,4,1,1,10,18,2,4,12,4,7,7,18,15
A85b_Bekwil_Makokou,2,1,10,16,13,17,20,2,3,11,3,1,10,5,5,21,2,1,1,6,3,1,3,4,2,?,1,4,3,7,7,13,1,1,17,4,1,5,10,12,1,?,1,7,1,?,2,7,3,1,21,4,1,5,5,17,1,4,4,5,7,9,5,9,2,4,1,1,15,4,15,5,?,2,7,7,3,14,1,1,5,2,15,6,11,2,1,4,1,1,10,17,?,9,12,4,7,7,20,15
A85b_Bekwil_Mv,2,1,10,15,13,17,19,2,1,11,3,1,10,1,5,21,2,1,1,?,3,1,3,4,2,8,1,4,3,7,7,13,1,1,17,4,1,5,10,12,1,1,1,7,1,1,2,7,3,1,21,4,1,5,5,17,1,4,4,5,7,9,5,9,2,4,1,1,15,4,15,5,5,2,7,7,3,14,1,1,5,2,15,6,11,2,1,4,1,1,10,17,2,9,12,4,7,7,7,15
A86c_Mpiemo,2,1,10,2,13,17,19,2,3,1,3,1,10,1,6,21,2,1,1,7,3,1,7,4,2,?,9,9,15,7,7,13,12,1,17,4,13,5,2,11,1,1,1,7,1,1,2,7,3,11,21,4,1,5,16,2,1,4,4,5,7,4,5,9,2,4,1,9,16,4,15,1,5,2,7,7,3,14,1,1,?,2,5,1,11,2,1,4,1,1,10,17,2,4,12,4,7,7,18,15
A87_Bomwali,2,1,10,15,?,17,19,2,1,1,3,1,10,?,5,21,?,1,1,6,3,1,3,?,2,?,?,4,3,7,7,?,1,?,17,?,13,?,2,13,1,1,1,7,?,?,?,7,3,?,21,4,1,16,5,2,5,4,4,?,7,4,5,9,2,4,1,10,?,4,15,?,?,?,7,?,3,9,?,?,?,2,5,1,?,?,1,4,1,1,?,?,?,4,?,4,?,7,?,?
A91_Kwakum,7,1,14,15,14,1,?,2,1,12,3,1,10,1,5,21,2,1,1,6,3,1,3,4,2,8,9,3,3,14,12,14,9,1,18,4,1,5,11,12,1,?,7,7,11,1,2,7,3,11,22,10,1,1,17,13,1,4,4,5,8,4,5,9,8,4,1,10,15,4,13,1,5,14,7,7,1,11,1,1,7,2,23,1,11,2,1,1,1,1,10,17,2,4,12,7,7,7,18,15
A93_Kako,1,1,14,1,15,19,11,2,3,1,3,1,13,1,5,8,?,1,1,6,3,1,3,4,2,8,13,9,16,7,12,13,13,1,13,3,14,5,12,12,1,1,1,7,11,?,2,7,3,11,23,11,1,5,5,13,1,4,4,?,7,4,5,9,8,4,1,9,5,4,15,6,5,2,7,7,4,11,1,1,?,3,15,1,11,2,1,1,1,1,10,17,?,4,12,11,7,7,?,?
B11a_Mpongwe,1,9,1,17,16,1,21,2,1,1,9,1,14,1,6,15,2,1,1,8,4,5,3,4,7,4,14,10,17,15,13,1,14,1,8,4,1,1,2,8,5,1,1,9,12,1,6,5,7,17,24,12,1,17,18,2,5,3,4,3,6,10,7,5,5,9,8,5,6,13,1,1,5,2,8,7,5,4,2,1,5,8,24,1,1,4,1,3,1,5,11,20,8,4,13,12,11,9,10,16
B11b_Orungu,1,9,1,17,16,1,21,2,1,1,9,1,14,1,6,15,2,1,1,8,4,5,3,4,7,4,14,10,17,15,13,1,14,1,19,4,1,1,2,8,5,1,1,9,12,1,6,5,7,17,25,12,1,17,18,2,5,3,4,3,6,11,7,5,5,9,8,5,6,13,1,1,5,2,8,7,5,4,2,1,5,8,24,1,1,4,1,3,1,5,11,20,8,4,13,12,11,9,10,16
B11c_Galwa,1,9,1,17,16,1,21,2,1,1,9,1,14,1,6,15,2,1,1,8,4,5,3,4,7,4,14,10,17,15,13,1,1,1,19,4,1,1,2,8,5,1,1,9,12,1,6,5,7,17,25,12,1,17,18,2,5,3,4,3,6,10,7,5,5,9,8,5,6,4,1,1,5,2,8,7,5,4,2,1,5,8,24,1,1,4,1,3,1,5,11,20,8,4,13,12,11,9,10,16
B11d_Dyumba,1,9,1,17,16,1,22,2,1,1,9,1,14,1,6,15,2,1,1,8,4,5,3,4,7,4,14,10,17,15,13,1,1,1,19,4,1,1,2,8,5,?,1,9,12,1,6,5,7,17,25,12,1,17,18,2,5,3,4,3,6,11,7,5,5,9,8,5,6,4,1,1,5,2,8,7,5,4,2,1,5,8,24,1,1,4,1,3,1,5,11,20,8,4,13,12,11,9,10,16
B11F_Enenga,1,9,1,17,16,1,23,2,1,1,9,1,14,1,6,15,2,1,1,8,4,5,3,4,7,4,14,10,17,15,13,1,1,1,19,4,1,1,2,8,5,1,1,9,12,1,6,5,7,17,25,12,1,17,18,2,5,3,4,3,6,11,7,5,5,9,8,5,6,4,1,1,5,2,8,7,5,4,2,1,5,8,24,1,1,4,1,3,1,5,11,20,8,4,13,12,11,9,10,16
B31_Tsogo,1,9,11,18,17,20,22,2,6,1,9,1,11,1,18,8,2,1,8,1,3,1,8,4,2,4,11,10,3,16,14,15,1,1,8,4,15,5,13,6,1,1,1,3,13,1,2,5,3,9,8,12,10,18,19,18,1,6,4,1,8,10,7,1,5,4,1,1,6,4,1,1,5,14,1,7,1,4,1,1,4,3,24,1,12,1,1,3,1,1,11,7,2,4,14,13,10,13,21,17
B32_Kande,1,9,18,18,18,20,24,2,1,1,9,1,13,1,5,23,2,5,1,8,4,5,8,4,2,9,14,10,3,15,13,15,1,1,8,4,15,5,14,6,3,1,1,3,12,1,7,?,3,9,26,12,10,19,19,19,1,3,4,1,13,10,7,1,5,9,12,1,6,4,1,1,5,14,1,7,5,4,1,1,5,3,24,1,12,1,10,3,1,1,11,20,8,4,13,14,10,9,21,17
B301_Viya,8,9,11,18,17,1,22,2,7,1,9,1,11,1,18,23,2,6,1,1,3,1,9,4,2,4,11,10,3,16,15,1,1,1,3,4,1,5,13,6,1,1,1,3,14,1,2,8,3,9,8,12,11,18,20,20,3,6,4,1,8,10,5,10,5,4,1,1,6,4,1,1,5,2,1,15,1,4,1,1,4,3,24,6,1,1,1,3,1,1,12,7,2,11,14,13,10,13,21,17
B302_Himba,1,9,11,18,18,20,24,2,1,1,9,1,11,1,5,23,2,6,1,8,4,5,8,4,2,4,11,10,3,16,13,15,1,1,8,4,15,5,14,6,3,1,1,3,12,1,7,9,3,9,24,12,10,18,19,19,1,3,4,1,13,10,7,1,5,9,12,1,6,4,1,1,5,14,1,7,5,4,1,1,4,3,24,1,12,1,10,3,1,1,11,20,8,4,14,12,10,9,21,17
B304_Pinzi,1,9,18,18,18,20,24,2,1,1,9,1,13,1,19,23,2,6,1,8,4,5,8,4,2,4,14,10,3,15,13,15,1,1,8,4,15,5,14,6,3,1,1,3,12,1,7,9,3,9,24,12,10,18,19,19,1,3,4,1,13,10,7,1,5,9,12,1,6,4,1,1,5,14,1,7,5,4,2,1,4,3,24,1,12,1,10,3,1,1,11,20,8,4,14,12,10,9,21,17
B305_Vove,1,9,11,19,15,1,24,2,8,1,9,1,11,1,18,23,2,1,9,1,3,1,10,4,2,10,11,10,3,16,15,1,1,1,8,4,16,5,13,6,1,1,1,3,14,1,2,10,3,18,8,4,11,20,20,20,3,6,4,1,13,10,7,1,2,4,1,1,17,4,1,1,5,2,1,7,1,4,1,1,4,3,24,6,12,1,1,3,1,1,12,21,9,11,14,13,10,13,21,17
B21_Seki,9,1,19,15,15,1,7,2,3,1,3,1,13,1,6,15,2,1,1,9,3,1,3,4,2,4,1,3,3,7,16,16,15,1,8,4,1,1,2,13,1,1,1,10,11,4,8,7,3,17,11,11,1,20,5,2,12,4,4,5,7,1,5,9,8,4,1,10,?,4,1,1,5,15,7,7,1,9,9,1,4,3,25,1,1,2,1,1,1,1,5,9,2,4,14,11,11,7,10,16
B22a_Kele,2,1,19,?,5,19,24,2,9,1,3,1,10,1,5,24,2,1,1,9,8,1,9,4,2,4,1,4,3,7,3,17,16,1,20,4,13,1,15,6,6,7,1,7,13,1,2,7,3,17,26,4,1,5,5,21,1,3,4,3,7,9,5,9,2,4,1,1,13,4,1,7,5,16,7,7,1,11,1,1,4,2,25,1,1,2,1,1,1,1,3,18,2,12,14,4,?,7,22,18
B22b_Ngom,2,1,19,20,5,19,?,2,9,1,3,1,11,1,5,?,?,1,1,9,8,?,9,4,2,4,?,4,3,7,7,8,16,?,20,?,13,1,15,6,6,1,1,7,11,1,2,7,3,19,26,4,1,5,5,21,1,3,4,3,7,12,5,9,2,4,1,1,13,4,1,?,5,?,7,7,1,11,1,1,?,2,5,1,?,?,1,1,1,1,3,18,?,12,14,14,4,7,6,9
B22b_Koya,2,1,19,6,5,19,25,2,10,1,3,1,10,1,5,24,2,1,1,1,8,1,9,4,2,4,1,4,3,7,7,8,11,1,?,4,?,1,15,6,6,7,1,7,11,1,2,7,3,19,26,4,12,20,5,2,1,3,4,3,7,12,5,9,2,4,1,1,13,4,1,1,5,16,7,7,1,11,1,1,?,2,5,1,1,2,1,1,1,1,3,18,10,?,14,14,4,7,6,9
B22E_Mwesa,2,1,19,20,5,19,?,2,?,11,3,1,?,1,5,?,?,?,1,?,8,?,9,4,2,4,?,4,3,7,7,8,16,?,?,?,?,1,15,6,6,?,1,7,11,1,2,?,3,19,?,4,1,5,20,21,5,3,4,3,7,4,5,?,2,4,1,1,13,14,?,?,5,?,7,7,1,11,1,1,?,2,5,1,?,?,1,4,1,?,3,18,?,?,14,15,7,7,18,8
B23_Mbangwe,2,1,19,20,19,19,?,2,1,1,3,1,10,1,5,24,?,1,1,?,8,1,9,4,2,4,?,4,3,7,7,17,16,?,?,?,13,1,15,6,1,1,1,7,1,1,2,7,3,19,26,4,12,18,5,2,1,3,4,3,7,4,5,9,2,4,1,1,13,4,1,?,?,?,7,7,6,11,1,1,?,2,26,1,?,?,1,4,1,1,3,18,?,12,14,14,7,9,23,8
B24_Wumbvu,1,1,19,21,18,19,26,2,1,13,3,1,11,1,5,8,2,1,9,1,4,1,11,4,2,4,15,4,3,7,4,1,1,1,3,4,16,5,14,6,1,1,1,10,12,1,2,10,3,18,27,4,1,1,20,20,3,4,3,1,7,13,5,9,2,4,13,1,13,4,1,1,5,16,9,3,1,15,10,1,4,9,25,6,1,1,1,3,1,6,11,7,11,12,14,14,10,7,18,8
B25_Kota,2,1,20,6,20,19,7,2,1,11,3,1,11,1,5,8,2,1,9,1,3,1,10,4,2,4,16,10,3,7,17,8,11,1,21,4,1,5,14,6,1,1,1,7,11,1,2,10,3,18,27,4,1,5,20,21,1,8,4,1,7,14,12,1,2,4,13,1,13,4,1,1,5,2,9,3,1,15,10,1,4,9,12,1,1,1,1,3,1,1,11,7,10,13,14,15,4,7,18,9
B251_Shake,2,1,14,16,18,19,7,2,1,1,3,1,10,1,5,24,2,1,1,9,8,1,9,4,2,4,9,4,3,7,12,8,16,1,20,4,16,5,16,6,1,1,8,7,11,1,2,3,3,19,20,4,1,5,5,21,1,3,4,3,7,15,5,9,2,4,1,1,13,14,1,1,5,2,7,7,1,11,9,1,4,2,15,1,1,2,1,1,1,1,10,18,2,12,14,14,10,22,24,8
B252_Mahongwe,2,1,20,6,20,19,?,2,11,11,3,1,11,1,5,24,2,1,9,9,4,1,10,4,2,4,?,10,3,7,3,8,11,?,22,?,16,5,14,6,1,1,1,7,11,1,2,10,3,18,27,4,1,5,20,2,1,8,4,1,7,14,12,1,2,4,13,1,13,4,1,?,5,2,9,3,1,15,10,1,?,9,12,1,?,?,1,3,1,6,11,7,?,12,14,15,4,22,24,9
B201_Ndasa,1,1,19,21,18,19,22,2,1,13,3,1,11,1,5,8,11,1,9,1,4,1,11,4,2,4,14,4,3,7,4,1,1,1,3,4,16,5,14,6,1,1,1,10,12,1,2,10,3,18,27,4,1,1,20,20,3,4,3,1,7,13,5,9,2,4,13,1,13,4,1,1,5,16,9,3,1,15,10,1,4,9,25,6,1,1,1,3,1,6,11,7,11,12,14,14,10,9,18,8
B202_Sigu,1,1,19,21,18,19,?,2,?,13,3,1,11,1,5,15,2,?,9,1,4,1,11,4,2,11,1,10,3,7,4,1,1,1,3,4,1,5,13,6,1,?,1,10,12,1,9,10,3,18,?,4,1,1,20,20,5,4,3,3,7,14,5,?,2,4,13,1,13,4,?,2,5,?,9,3,1,15,10,1,?,9,25,6,1,1,11,3,1,6,11,7,2,12,14,14,10,9,18,19
B203_Samaye,1,1,19,?,20,19,?,2,1,14,3,1,19,1,5,8,?,1,9,9,4,1,10,4,2,7,16,10,3,7,4,1,11,1,21,4,16,5,14,6,1,1,8,7,12,1,2,10,3,18,27,4,12,5,20,20,1,4,4,1,7,14,5,1,2,4,13,1,13,4,1,1,5,15,9,3,1,15,10,1,4,2,12,6,1,1,1,3,1,6,11,7,10,12,14,15,10,22,18,8
B204_Ndambomo_Li,2,1,14,16,20,19,7,2,1,13,3,1,10,1,5,24,2,1,1,9,8,1,9,4,2,4,1,4,3,7,3,8,16,1,20,4,16,5,16,6,1,1,1,7,1,1,2,3,3,19,20,4,1,5,5,?,1,3,4,3,7,15,5,9,2,4,1,1,13,14,1,7,5,14,7,7,1,11,1,1,?,2,15,1,1,2,1,1,1,1,10,18,2,12,14,14,10,7,24,8
B204_Ndambomo_Mbadi,2,1,21,6,18,19,27,2,11,14,3,1,10,1,5,?,2,?,1,9,8,1,9,4,2,4,1,4,3,7,3,17,16,1,20,4,16,5,16,6,1,1,1,7,1,1,2,3,3,19,20,4,1,21,20,2,1,3,4,1,7,15,5,9,2,4,1,1,13,14,1,?,5,17,7,7,1,11,1,1,4,2,15,6,1,2,1,1,1,1,10,18,?,12,14,14,10,7,24,9
B204_Ndambomo_Massoukou,2,1,21,?,?,19,?,2,?,1,3,1,10,1,?,?,2,?,1,?,8,1,3,4,2,?,1,4,3,?,3,?,16,1,20,4,?,?,16,6,1,?,1,7,1,1,2,?,3,19,20,4,1,21,5,2,1,3,4,3,7,15,5,9,2,4,1,1,13,?,?,?,5,?,7,7,?,11,1,1,?,2,15,6,1,2,1,1,1,1,10,18,?,12,14,14,10,7,24,8
C101_Babole_Ep,1,1,22,12,?,1,7,2,12,2,2,1,11,1,20,25,2,1,10,1,4,1,10,5,2,?,16,10,3,17,3,1,1,1,23,4,17,1,2,14,1,1,9,11,12,1,10,10,3,20,27,13,1,?,21,?,5,6,3,3,7,16,5,1,2,10,1,11,?,15,1,2,?,2,10,16,?,16,1,1,4,10,12,13,1,1,1,3,11,1,11,?,2,6,2,16,10,7,25,?
C101_Babole_Ma,1,1,23,22,?,21,28,2,12,15,3,1,20,1,21,26,2,1,11,1,4,1,10,5,2,?,1,10,3,18,3,1,1,1,24,4,17,5,2,?,1,1,10,11,15,1,11,10,8,21,11,13,1,?,19,22,13,6,4,1,7,4,6,1,2,11,13,12,?,16,1,2,?,2,11,17,?,17,1,1,8,3,12,14,1,1,12,3,1,7,11,?,2,4,2,16,11,9,26,?
C101_Babole_Dz,1,1,24,23,?,21,28,2,12,15,3,1,20,1,21,25,2,1,11,1,4,1,10,5,2,?,1,10,3,18,3,18,1,1,24,4,17,5,2,?,7,1,?,12,15,1,12,10,?,21,11,13,1,?,19,22,13,6,4,1,7,4,6,1,2,11,13,1,?,13,1,2,?,2,11,17,?,17,1,1,8,11,12,14,1,1,12,3,1,7,11,?,2,4,15,16,11,9,26,?
C104_Aka,1,1,10,2,15,19,22,2,13,16,2,1,11,1,5,8,2,1,9,1,4,1,10,6,2,4,1,10,3,19,3,8,1,1,6,4,18,1,2,6,8,8,1,3,16,1,13,11,3,1,27,13,1,1,20,7,3,6,4,9,7,4,5,5,2,4,1,13,5,14,16,1,5,2,11,18,7,17,1,1,4,12,15,15,11,1,1,3,1,1,11,7,2,6,2,16,11,22,26,19
C105_Mbenga,1,1,25,23,21,1,7,4,12,1,2,1,11,1,22,8,2,1,1,1,4,1,3,4,2,4,1,4,3,17,18,1,1,1,6,4,1,5,17,6,1,1,1,11,12,1,11,10,3,1,27,4,1,1,22,22,13,8,3,?,7,17,5,5,2,12,1,1,16,15,17,1,?,2,12,7,?,18,1,1,4,13,12,13,1,1,1,3,1,1,11,7,2,4,15,16,10,7,27,20
C141_Bonyala,1,1,26,24,21,19,7,2,6,2,2,1,11,1,23,8,12,1,9,1,4,1,12,4,2,12,17,1,3,20,4,1,1,1,6,4,1,13,2,6,9,1,1,10,12,1,11,10,8,1,27,4,1,1,23,20,13,8,3,1,7,18,6,1,2,4,1,1,5,17,16,2,5,2,10,3,8,19,1,1,9,14,15,14,1,1,1,3,1,1,11,7,2,6,15,16,10,23,26,20
C15_Bongili,1,1,21,23,?,19,7,2,12,2,2,1,11,?,20,8,?,1,9,1,4,1,12,?,2,?,?,11,3,20,3,?,1,?,6,?,1,?,2,6,1,9,1,11,?,?,?,10,8,?,27,4,1,1,21,22,5,6,3,?,7,18,5,1,2,4,1,14,?,15,1,?,?,18,?,19,9,19,?,?,?,15,15,6,?,?,1,3,11,1,?,?,?,6,?,17,?,9,?,?
C21_Ngare,1,1,27,24,21,19,7,2,6,2,2,1,11,1,18,8,13,1,9,1,4,1,3,4,2,12,17,1,3,20,3,1,1,1,6,4,1,13,14,6,9,1,1,10,12,1,11,10,8,1,27,4,1,1,23,20,13,8,3,1,7,18,6,1,2,4,1,1,5,15,1,2,5,2,10,3,1,19,11,1,4,14,15,1,1,1,1,3,1,1,11,7,2,14,2,17,10,23,26,21
C22_Akwa,1,1,19,24,22,19,7,2,6,2,3,1,11,1,24,8,14,1,9,1,4,1,12,4,2,11,1,10,3,17,4,1,1,1,6,4,1,13,14,6,1,10,1,10,12,1,11,10,8,1,27,4,1,1,23,2,13,11,3,1,7,18,13,1,2,4,1,1,5,17,18,2,5,2,10,3,10,19,1,1,4,14,27,14,1,1,1,3,12,1,11,7,12,14,2,17,16,24,26,21
C24_Koyo,1,1,27,24,21,21,7,2,6,2,2,1,11,1,24,8,12,1,9,1,4,1,12,4,2,12,18,4,3,20,3,1,1,1,6,4,1,1,14,6,9,1,1,10,12,1,11,10,8,1,27,4,13,1,23,20,3,8,3,1,7,18,6,1,2,4,1,1,5,15,16,2,5,2,10,3,1,19,1,1,4,15,27,1,1,1,1,3,13,1,11,7,2,14,2,17,7,23,26,21
C25_Mboshi,1,1,26,24,21,21,7,2,6,2,2,1,11,1,25,8,12,1,9,1,9,1,12,4,2,12,17,1,3,20,3,1,1,1,6,4,1,1,14,6,9,1,1,10,12,1,11,10,8,1,27,4,13,1,23,20,3,8,3,1,7,18,6,1,2,4,14,1,5,13,16,?,5,2,10,3,8,19,1,1,4,12,15,1,1,1,1,3,1,1,?,7,2,14,2,17,7,23,?,21
C25A_Bunji,1,1,27,24,21,21,7,2,6,2,3,1,11,1,25,8,13,1,9,1,4,1,12,4,2,12,17,1,3,20,3,1,1,1,6,4,1,13,2,6,9,10,1,10,12,1,11,10,8,1,27,4,1,1,23,20,3,8,3,1,7,18,6,1,2,4,15,1,5,13,16,2,5,2,10,3,11,19,1,1,4,14,15,1,1,1,1,3,1,1,11,7,2,14,2,17,10,23,26,21
C25B_Olee,1,1,27,24,21,21,7,2,6,2,2,1,11,1,25,8,12,1,9,1,9,1,12,4,2,12,17,1,3,20,3,1,1,1,6,4,1,13,2,6,9,10,1,10,12,1,11,10,8,1,27,4,1,1,23,20,3,8,3,1,7,18,6,1,2,4,16,1,5,17,16,2,5,2,10,3,8,19,1,1,4,14,15,1,1,1,1,3,1,1,11,7,2,14,2,17,16,23,26,21
C25C_Ondinga,1,1,27,24,21,21,7,2,6,2,3,1,11,?,25,8,12,1,9,1,9,1,12,4,2,12,17,1,3,20,3,1,1,1,6,4,1,1,2,6,9,10,1,10,12,1,11,10,8,1,27,4,1,1,23,20,3,8,3,1,7,18,6,1,2,4,17,1,5,15,16,2,5,2,11,3,8,19,1,1,4,12,25,1,1,1,1,3,1,1,11,7,2,14,2,17,16,23,26,21
C25E_Eboyi,1,1,27,24,21,19,7,2,6,2,2,1,11,1,24,8,12,1,9,1,4,1,12,4,2,12,17,10,3,20,3,1,1,1,6,4,1,13,2,6,9,1,1,10,12,1,11,10,8,1,27,4,1,1,23,20,3,8,3,1,7,18,6,1,2,4,1,1,5,13,16,2,5,2,10,3,12,19,1,1,4,14,15,1,1,1,1,3,1,1,11,7,2,14,2,17,10,23,26,21
C322_Zamba,10,1,25,12,?,1,7,2,14,2,2,1,10,?,22,8,?,1,2,1,4,1,10,?,2,?,?,1,3,17,3,?,1,?,6,?,19,?,18,6,1,1,1,11,?,?,?,10,3,?,27,4,1,1,21,22,13,6,3,?,14,4,5,11,2,4,1,1,?,15,1,?,?,18,?,20,9,19,?,?,?,?,12,13,?,?,1,3,1,1,?,?,?,15,?,16,?,7,?,?
C323_Mpama,10,1,21,23,?,19,7,2,12,2,2,1,10,?,26,8,?,1,1,1,4,1,13,?,2,?,?,1,3,21,3,?,1,?,6,?,1,?,2,6,1,1,11,11,?,?,?,10,3,?,27,4,1,1,21,22,5,6,4,?,7,18,5,1,2,4,1,15,?,15,1,?,?,19,?,19,9,19,?,?,?,16,15,6,?,?,1,3,1,1,?,?,?,6,?,16,?,7,?,?
C32_Bobangi,10,1,21,23,23,19,7,2,6,2,2,1,11,1,22,8,13,1,1,1,4,1,10,4,2,13,16,10,3,7,3,?,1,1,6,4,1,1,19,6,1,1,11,11,12,1,11,10,3,18,27,13,1,1,23,22,3,6,4,3,7,18,5,1,2,4,1,1,5,15,18,2,5,2,12,21,1,19,12,1,4,12,27,16,1,1,1,3,1,1,11,22,2,6,2,16,7,7,27,22
C34_Sakata,11,1,11,23,24,21,29,4,15,1,2,1,14,1,20,8,13,1,2,10,3,1,3,4,2,4,17,1,3,22,3,19,1,1,25,?,1,5,20,6,1,1,1,3,17,1,11,12,3,22,27,4,1,19,24,23,3,6,4,?,7,19,5,11,2,4,14,16,5,15,18,?,8,20,13,?,1,7,13,?,4,15,26,6,1,1,1,3,1,8,12,23,13,4,2,16,17,7,?,?
C36d_Lingala,1,1,25,23,?,1,7,5,14,1,2,1,11,1,22,8,2,1,1,10,4,1,10,4,2,?,1,1,3,23,19,1,17,1,6,4,1,5,2,6,1,1,1,11,12,1,11,10,3,18,27,4,1,1,20,22,13,8,3,3,7,4,5,1,2,4,1,1,5,15,18,2,?,2,12,3,13,18,1,1,4,13,12,6,1,1,1,3,1,1,12,?,14,6,15,16,10,7,27,20
C41_Ngombe,1,1,25,2,25,22,7,4,16,1,2,1,11,1,27,27,2,1,1,1,4,1,10,6,2,4,1,1,3,24,18,19,1,?,6,?,1,1,21,6,1,1,1,13,12,1,?,10,9,21,27,4,1,1,23,7,3,8,3,5,7,4,14,5,2,4,1,14,5,15,1,1,5,2,12,22,1,18,1,1,4,3,12,6,?,?,1,3,1,1,?,24,15,16,2,4,10,7,28,20
C43A_Baati,1,1,1,6,?,22,29,6,16,17,2,1,11,6,28,15,2,1,2,1,4,1,10,6,2,14,1,12,18,23,20,?,1,3,26,5,1,14,22,15,10,11,1,14,18,?,11,13,10,21,27,4,14,1,23,7,14,8,4,5,7,10,15,5,2,4,13,12,5,18,19,8,?,21,14,23,14,20,1,1,10,10,28,1,?,1,13,3,14,1,11,25,2,16,16,4,10,7,29,20
C44_Bwa,1,1,27,25,21,21,30,6,16,17,2,1,11,6,22,27,2,1,2,1,10,1,10,6,2,14,1,1,19,23,20,?,1,1,26,5,1,14,22,15,10,11,1,11,18,1,11,13,10,21,27,4,14,1,23,7,14,8,4,5,7,10,15,5,2,4,13,14,5,18,19,8,?,21,14,?,14,20,1,1,10,17,28,1,1,1,13,3,14,1,11,26,2,16,16,4,10,7,29,20
C52_Soko,1,10,28,26,26,23,7,2,1,18,2,1,21,1,25,28,13,1,1,1,4,1,10,4,2,4,19,13,20,24,5,1,1,?,6,?,20,14,23,16,3,1,1,15,19,5,?,3,11,23,11,14,1,22,20,7,15,6,4,1,7,19,5,12,?,4,18,14,5,19,1,1,9,2,15,24,1,21,14,1,4,18,15,6,?,?,1,3,1,9,?,27,13,4,2,16,7,7,30,23
C55_Lokele,1,11,28,23,15,24,29,2,14,1,2,1,14,1,25,8,2,1,1,1,4,1,10,4,2,8,1,13,21,7,18,20,1,?,27,?,1,1,24,6,1,1,1,11,12,6,?,3,11,22,28,4,1,23,20,7,3,8,4,10,7,19,16,12,2,4,14,14,5,20,1,1,5,22,16,22,1,22,1,1,4,3,5,16,?,?,1,3,15,1,?,28,16,4,2,18,7,7,31,24
C54_Turumba_1919,1,1,?,?,?,24,?,2,?,18,2,8,?,1,?,?,?,?,2,?,4,?,3,7,2,8,?,13,?,?,21,?,1,?,?,?,?,14,24,6,11,?,1,?,19,5,?,?,3,22,?,?,?,?,?,7,3,8,4,10,7,?,5,?,?,4,18,17,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24
